rule_variant,rule_description,target_variant,target_ratio,observations,eligible_setups,entries,wins,losses,no_entry,win_rate_pct,average_return_pct,total_return_pct,profit_factor,expectancy_pct,maximum_drawdown_pct_points
ALL_COMPLETE,All complete opening windows with ATR available,FIB_38_2,0.382,664,664,452,128,324,212,28.31858407079646,-0.15949188716814158,-72.090333,0.6317263481017741,-0.15949188716814158,73.37448999999991
ALL_COMPLETE,All complete opening windows with ATR available,FIB_50_0,0.5,664,664,452,109,343,212,24.11504424778761,-0.15866957300884957,-71.718647,0.6542489195858305,-0.15866957300884957,73.43035599999995
ALL_COMPLETE,All complete opening windows with ATR available,FIB_61_8,0.618,664,664,452,93,359,212,20.575221238938052,-0.17144206194690265,-77.491812,0.6421936113295448,-0.17144206194690265,77.49181199999997
ALL_COMPLETE,All complete opening windows with ATR available,NON_FIB_CONTROL,0.679417,664,664,452,107,345,212,23.672566371681416,-0.16638515707964602,-75.206091,0.6390766695325754,-0.16638515707964602,75.20609099999994
MANIPULATION,Opening range passes the manipulation threshold,FIB_38_2,0.382,664,594,398,113,285,196,28.391959798994975,-0.15945408542713566,-63.462725999999996,0.6479511224928579,-0.15945408542713566,64.74688299999995
MANIPULATION,Opening range passes the manipulation threshold,FIB_50_0,0.5,664,594,398,97,301,196,24.371859296482413,-0.1564958944723618,-62.285365999999996,0.6733979160754353,-0.1564958944723618,63.99707499999999
MANIPULATION,Opening range passes the manipulation threshold,FIB_61_8,0.618,664,594,398,86,312,196,21.608040201005025,-0.16165652763819097,-64.339298,0.6750583059283471,-0.16165652763819097,64.339298
MANIPULATION,Opening range passes the manipulation threshold,NON_FIB_CONTROL,0.679417,664,594,398,96,302,196,24.120603015075375,-0.16575752763819096,-65.971496,0.6553657258313835,-0.16575752763819096,65.97149599999996
RED_AND_MANIPULATION,Red candle and manipulation threshold both pass,FIB_38_2,0.382,664,289,245,76,169,44,31.020408163265305,-0.1175244081632653,-28.79348,0.7444944362778522,-0.1175244081632653,34.74178499999999
RED_AND_MANIPULATION,Red candle and manipulation threshold both pass,FIB_50_0,0.5,664,289,245,65,180,44,26.53061224489796,-0.1171809387755102,-28.709329999999998,0.7616566344681424,-0.1171809387755102,38.95805300000001
RED_AND_MANIPULATION,Red candle and manipulation threshold both pass,FIB_61_8,0.618,664,289,245,57,188,44,23.26530612244898,-0.1374852081632653,-33.683876,0.7329459529028743,-0.1374852081632653,37.511438
RED_AND_MANIPULATION,Red candle and manipulation threshold both pass,NON_FIB_CONTROL,0.679417,664,289,245,64,181,44,26.122448979591837,-0.12665303265306121,-31.029993,0.7450266148148904,-0.12665303265306121,39.481128
RED_CANDLE,Opening 15-minute candle is red,FIB_38_2,0.382,664,323,271,82,189,52,30.25830258302583,-0.12480722878228781,-33.822759,0.7193677763891775,-0.12480722878228781,39.70573799999999
RED_CANDLE,Opening 15-minute candle is red,FIB_50_0,0.5,664,323,271,69,202,52,25.461254612546124,-0.1297229557195572,-35.154921,0.7278330157696329,-0.1297229557195572,45.294182000000006
RED_CANDLE,Opening 15-minute candle is red,FIB_61_8,0.618,664,323,271,59,212,52,21.771217712177123,-0.15352885239852399,-41.606319,0.6930364865606037,-0.15352885239852399,44.15027799999999
RED_CANDLE,Opening 15-minute candle is red,NON_FIB_CONTROL,0.679417,664,323,271,68,203,52,25.092250922509223,-0.13665344649446495,-37.033084,0.7157096882407182,-0.13665344649446495,40.953545000000005
RED_MANIPULATION_ATR_RATIO_0_30,Red/manipulation setup with candle/ATR ratio >= 0.30,FIB_38_2,0.382,664,256,217,71,146,39,32.71889400921659,-0.10491588479262673,-22.766747,0.7778982705217224,-0.10491588479262673,29.946232
RED_MANIPULATION_ATR_RATIO_0_30,Red/manipulation setup with candle/ATR ratio >= 0.30,FIB_50_0,0.5,664,256,217,60,157,39,27.64976958525346,-0.10979223041474655,-23.824914,0.7839351362322224,-0.10979223041474655,34.368113
RED_MANIPULATION_ATR_RATIO_0_30,Red/manipulation setup with candle/ATR ratio >= 0.30,FIB_61_8,0.618,664,256,217,52,165,39,23.963133640552993,-0.13845186175115207,-30.044054,0.740876819552432,-0.13845186175115207,33.34684899999999
RED_MANIPULATION_ATR_RATIO_0_30,Red/manipulation setup with candle/ATR ratio >= 0.30,NON_FIB_CONTROL,0.679417,664,256,217,59,158,39,27.188940092165897,-0.11920996313364056,-25.868562,0.7680213968799089,-0.11920996313364056,34.891187999999985
RED_MANIPULATION_MIN_5_NEW_LOWS,Red/manipulation setup with at least 5 new lows,FIB_38_2,0.382,664,184,158,49,109,26,31.0126582278481,-0.1392816835443038,-22.006506,0.7223410139197749,-0.1392816835443038,22.647619
RED_MANIPULATION_MIN_5_NEW_LOWS,Red/manipulation setup with at least 5 new lows,FIB_50_0,0.5,664,184,158,41,117,26,25.949367088607595,-0.15218274683544303,-24.044874,0.7167258449053798,-0.15218274683544303,25.44590599999999
RED_MANIPULATION_MIN_5_NEW_LOWS,Red/manipulation setup with at least 5 new lows,FIB_61_8,0.618,664,184,158,36,122,26,22.78481012658228,-0.18791072784810126,-29.689895,0.6648683915797666,-0.18791072784810126,29.689894999999993
RED_MANIPULATION_MIN_5_NEW_LOWS,Red/manipulation setup with at least 5 new lows,NON_FIB_CONTROL,0.679417,664,184,158,41,117,26,25.949367088607595,-0.16387775316455697,-25.892685,0.6951765795288187,-0.16387775316455697,26.590134999999997
RED_MANIPULATION_MIN_8_RED,Red/manipulation setup with at least 8 red minutes,FIB_38_2,0.382,664,251,218,64,154,33,29.357798165137616,-0.14694875688073394,-32.034829,0.6902704949354048,-0.14694875688073394,37.078148
